id,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche,file_contents
69,1,0,0,1,0,0,0,0,0,"User: But in the same way that the idea of eliminating references to “English” strikes most as overboard, the idea that for Black people standard English is something wholly apart is simply inaccurate. For most Black Americans, both Black and standard English are part of who we are; our English is, in this sense, larger than many white people’s. In “The Souls of Black Folk,” W.E.B. Du Bois wrote, “I sit with Shakespeare and he winces not … I summon Aristotle and Aurelius and what soul I will, and they come all graciously with no scorn nor condescension.” On a less exalted level, a great many Black people toggle endlessly between standard and Black English, day in and day out — we code-switch. I always liked how Gloria Naylor was able to get this across, as in this scene from her novel “Mama Day”:
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable because the passage directly quotes W.E.B. Du Bois from his scholarly work, ""The Souls of Black Folk,"" to illustrate a point about language.
   - Activist: Not applicable because the passage does not describe Du Bois as an activist or mention his political or social activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because the passage does not mention any enduring cultural objects named after Du Bois.
    - Mention of Scholarly Work: Applicable because the passage directly quotes W.E.B. Du Bois from his scholarly work, ""The Souls of Black Folk.""
    - Social/Political Advocacy: Not applicable because while the passage discusses language and identity, it does not explicitly mention or imply social or political activism, advocacy, critique, or discourse related to Du Bois's work or persona.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because the passage does not describe Du Bois as an agent establishing his reputation through organizational and institutional sponsorship.
    - Out of the Mouth of Academics: Not applicable because the passage does not feature a specific member of an academic organization engaging with Du Bois's work or Du Bois as representing a concept.
    - Out of the Mouth of Activists: Not applicable because the passage does not feature an individual described as a leader, activist, or politician referencing or drawing upon W.E.B. Du Bois's work or legacy.
    - Collective Synecdoche: Not applicable because Du Bois is not mentioned with other famous intellectuals, activists, or public figures to represent a facet of a culture, era, or ideology.

**Codes Applied**:
- Scholar
- Mention of Scholarly Work
"
104,1,0,0,1,1,0,1,0,0,"User: But the basic idea that “slaves developed skills” isn’t an illegitimate one. And although it has been deployed in efforts to minimize the fundamental injustice of American slavery, it has also been used in defense of the essential humanity of the enslaved. For example, at the same time that white supremacist authors were writing slavery apologia for student instruction, scholars like W.E.B. Du Bois were taking note of the skills and agency of enslaved Africans for a very different purpose.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable because Du Bois is described as a scholar taking note of skills and agency for a specific purpose.
   - Activist: Not directly applicable as the passage focuses on his scholarly observation rather than explicit activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable as there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Applicable because the passage refers to Du Bois taking note of skills and agency, implying his scholarly observations.
    - Social/Political Advocacy: Applicable because the passage frames Du Bois's work in contrast to white supremacist authors and in defense of the humanity of the enslaved, which is a form of social critique and advocacy.

3. **Canonization Processes**:
    - Coalition Building: Not applicable as there is no mention of Du Bois establishing his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Applicable because Du Bois is presented as a scholar engaging with a concept.
    - Out of the Mouth of Activists: Not directly applicable as the passage does not indicate an activist referencing Du Bois.
    - Collective Synecdoche: Not applicable as Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Social/Political Advocacy
- Out of the Mouth of Academics
"
110,1,1,0,0,1,0,1,0,0,"User: ''W. E. B. Du Bois: The Fight for Equality and the American Century, 1919-1963'' Mr. Lewis, a history professor at Rutgers University, won his first Pulitzer Prize for biography in 1994, with the first volume in his life of W. E. B. Du Bois, one of the towering figures of the early American civil rights movement. Now the second volume has won Mr. Lewis a second prize, making him the first biographer in Pulitzer history to win for back-to-back volumes. The second volume picks up Du Bois's life after 1919, when the co-founder of the National Association for the Advancement of Colored People began to move away from his early integrationist ideals and shift toward more radical leftist politics. The second half of his life was fraught with contradictions, as he battled other black leaders, as well as white society.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable, as the passage refers to Du Bois as a ""towering figure"" and discusses his intellectual shifts in political ideals, implying scholarly thought.
   - Activist: Applicable, as Du Bois is described as a ""co-founder of the National Association for the Advancement of Colored People"" and his ""fight for equality"" is mentioned.

2. **General Themes**:
    - Monumental Memorialization: Not applicable, as there are no enduring cultural objects named after Du Bois mentioned.
    - Mention of Scholarly Work: Not applicable, as no specific academic works or major theoretical concepts by Du Bois are mentioned or quoted.
    - Social/Political Advocacy: Applicable, as the passage discusses Du Bois's ""fight for equality,"" his involvement with the NAACP, and his shift toward ""radical leftist politics,"" all of which fall under social and political advocacy.

3. **Canonization Processes**:
    - Coalition Building: Not applicable, as there is no mention of Du Bois establishing his reputation through organizational and institutional sponsorship.
    - Out of the Mouth of Academics: Applicable, as Mr. Lewis, a ""history professor at Rutgers University,"" is discussing Du Bois and his work.
    - Out of the Mouth of Activists: Not applicable, as the passage does not feature an individual described as a leader, activist, or politician referencing Du Bois.
    - Collective Synecdoche: Not applicable, as Du Bois is not mentioned alongside other famous figures to represent a broader concept.

**Codes Applied**:
- Activist
- Social/Political Advocacy
- Out of the Mouth of Academics
- Scholar
"
114,0,0,1,0,0,0,1,0,0,"User: At Harvard, Mr. Gates presides over both the Department of Afro-American studies and its W. E. B. Du Bois Institute for Afro-American Research. The department has seven faculty members, all with joint appointments in other fields like English, philosophy or economics. Forty-three students are majoring in Afro-American studies. The department now offers only undergraduate degrees, but a doctoral program is being planned. The Du Bois Institute, the oldest research institute in the field, this year sponsors 23 fellows studying subjects ranging from African oral literature, to the Harlem Renaissance, to the Atlantic slave trade to jazz and hip-hop.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable because the passage focuses on an institute named after Du Bois and its activities, not on Du Bois's scholarly contributions themselves.
   - Activist: Not directly applicable as the passage does not describe Du Bois's activism.

2. **General Themes**:
    - Monumental Memorialization: Applicable because the passage mentions the ""W. E. B. Du Bois Institute for Afro-American Research,"" which is an enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Not directly applicable as the passage does not mention specific academic works or theoretical concepts by Du Bois.
    - Social/Political Advocacy: Not directly applicable as the passage does not mention or imply any form of social or political activism, advocacy, critique, or discourse.

3. **Canonization Processes**:
    - Coalition Building: Not directly applicable as the passage does not describe Du Bois as an agent establishing his reputation through organizational and institutional sponsorship.
    - Out of the Mouth of Academics: Applicable because the passage describes an academic organization (the Department of Afro-American studies at Harvard) and its associated institute engaging with Du Bois by naming the institute after him and sponsoring fellows.
    - Out of the Mouth of Activists: Not directly applicable as the passage does not involve an activist referencing Du Bois.
    - Collective Synecdoche: Not directly applicable as Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Monumental Memorialization
- Out of the Mouth of Academics
"
100,0,1,0,0,1,0,0,0,0,"User: The Marcus Garvey move ment, which reached its ze nith in the early nineteen twenties, saw thousands of blacks rally to the banner of “Back to Africa” and the cre ation of a black empire on that continent. Even some blacks who vehemently dis agreed with Garvey about his African plans nonetheless felt that the development of sepa rate black organizations and institutions in this country was the wisest course to pur sue. This issue was perhaps the major one dividing Dr. W. E. B. Du Bois and the or ganization he helped to found, the N.A.A.C.P. In the nineteen‐thirties, Du Bois be gan to advocate a particular kind of black economic na tionalism. While he denied that it was either nationalism or a segregated economy he was proposing, he did say: “The only thing that we not only can, but must, do is vol untarily and insistently to or ganize our economic and so cial power, no matter how much segregation it involves. Learn to associate with our selves and to train ourselves for effective association. Or ganize our strength as con sumers; learn to cooperate and use machines and power as producers; train ourselves in methods of democratic con trol within our own group. Run and support our own in stitution.”
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable. While Du Bois's ideas are discussed, the passage focuses on his advocacy and organizational roles rather than his scholarly output.
   - Activist: Applicable. The passage explicitly mentions Du Bois's role in founding the NAACP and his advocacy for black economic nationalism, clearly implying his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. There is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Not applicable. While Du Bois's ideas are discussed, specific academic works or major theoretical concepts are not named or quoted.
    - Social/Political Advocacy: Applicable. The passage details Du Bois's advocacy for black economic nationalism and the organization of economic and social power within the Black community.

3. **Canonization Processes**:
    - Coalition Building: Not directly applicable. The passage describes Du Bois's involvement with the NAACP but does not frame his reputation as being built through organizational sponsorship.
    - Out of the Mouth of Academics: Not applicable. The passage does not feature an academic discussing Du Bois or his work.
    - Out of the Mouth of Activists: Not directly applicable. While Du Bois is an activist, the passage does not present another activist referencing or drawing upon his work or legacy.
    - Collective Synecdoche: Not applicable. Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Activist
- Social/Political Advocacy
"
9,0,0,0,0,0,0,0,0,1,"User: The list of contributors is quite impressive and includes William Car los Williams, Theodore Dreiser, Ezra Pound, Langston Hughes, Samuel Beckett (who translated most of the French articles into English), W. E. B. Du Bois, Alain Locke, Jomo Kenyatta and George Padmore. But, as in any anthology, the quality of the articles vanes. Many of the contributions by whites are paternalistic and patroniz ing. William Carlos Williams's con tribution is an amazing personal essay in which he writes of the sexual attraction black women held for him, an attraction which “no white woman could equal.” Williams speculates that his family refused to fire the black cook and washer woman in their home, preferring to keep her around just “for the sheer vitality and animal attractiveness there was in her.”
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable because Du Bois is listed among other contributors without specific mention of his scholarly work or intellectual contributions.
   - Activist: Not directly applicable because Du Bois is listed among other contributors without specific mention of his activism or leadership roles.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Not applicable because no specific academic works or major theoretical concepts by Du Bois are mentioned or quoted.
    - Social/Political Advocacy: Not directly applicable because while Du Bois is listed, the passage does not explicitly mention or imply his social or political activism or advocacy.

3. **Canonization Processes**:
   - Coalition Building: Not applicable because Du Bois is not described as an agent establishing his reputation through organizational and institutional sponsorship.
   - Out of the Mouth of Academics: Not applicable because there is no indication that a specific member of an academic organization is engaging with Du Bois's work or Du Bois as representing a concept.
   - Out of the Mouth of Activists: Not applicable because no individual described as a leader, activist, or politician, or as a member of a specific political or activist organization, references or draws upon W.E.B. Du Bois's work or legacy.
   - Collective Synecdoche: Applicable because Du Bois is mentioned alongside other famous intellectuals and public figures to represent a facet of a culture or intellectual landscape.

**Codes Applied**:
- Collective Synecdoche
"
45,0,0,0,0,0,0,0,0,1,"User: It was “Leave It to Beaver,” but black, to hear Mr. Walcott describe his childhood in the Addisleigh Park section of southeast Queens, a destination for ambitious émigrés from Harlem and Brooklyn that was already dotted with celebrities like John Coltrane, Ella Fitzgerald, and W. E. B. Du Bois.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. Du Bois is not described as a scholar in this passage.
   - Activist: Not directly applicable. While Du Bois was an activist, the passage does not explicitly describe him as such or detail his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. No enduring cultural objects are named after Du Bois.
    - Mention of Scholarly Work: Not applicable. No specific scholarly works or theoretical concepts by Du Bois are mentioned.
    - Social/Political Advocacy: Not applicable. The passage does not mention or imply any social or political activism, advocacy, critique, or discourse related to Du Bois.

3. **Canonization Processes**:
    - Coalition Building: Not applicable. Du Bois is not described as building his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Not applicable. Mr. Walcott is not identified as an academic, and the context does not suggest an academic engagement with Du Bois.
    - Out of the Mouth of Activists: Not applicable. Mr. Walcott is not described as an activist, leader, or politician, nor is he referencing Du Bois's work or legacy in such a capacity.
    - Collective Synecdoche: Applicable. Du Bois is mentioned alongside other famous figures (John Coltrane, Ella Fitzgerald) to represent a facet of a community or era.

**Codes Applied**:
- Collective Synecdoche
"
51,0,1,0,0,1,0,0,0,0,"User: The Defender, a tabloid, helped nurture the careers of writers like Langston Hughes and W. E. B. Du Bois, a founder of the National Association for the Advancement of Colored People. And long before white politicians began to oppose the South's Jim Crow laws, The Defender published editorials decrying the treatment of black sharecroppers and promising a better life in Chicago's factories.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. While Du Bois was a scholar, this passage focuses on his role in nurturing careers and his founding of the NAACP, not his scholarly output.
   - Activist: Applicable. The passage explicitly states Du Bois was a founder of the National Association for the Advancement of Colored People, implying his activist role.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. There is no mention of any enduring cultural object being named after Du Bois.
    - Mention of Scholarly Work: Not applicable. The passage does not mention any specific academic works or theoretical concepts by Du Bois.
    - Social/Political Advocacy: Applicable. The passage describes The Defender publishing editorials decrying the treatment of black sharecroppers and promising a better life, which is a form of social and political advocacy, and Du Bois's association with the NAACP further supports this.

3. **Canonization Processes**:
    - Coalition Building: Not applicable. The passage does not describe Du Bois as an agent establishing his reputation through organizational and institutional sponsorship.
    - Out of the Mouth of Academics: Not applicable. The passage does not feature an academic discussing Du Bois's work or representing him as a concept.
    - Out of the Mouth of Activists: Not applicable. While Du Bois was an activist, the passage does not show an activist referencing or drawing upon his work or legacy.
    - Collective Synecdoche: Not applicable. Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Activist
- Social/Political Advocacy
"
79,0,0,0,0,0,0,0,0,1,"User: The 68 photographs in the exhibit provide a broad view of black Americans from before the Civil War through the early 1980's. Images of anonymous families, workers and soldiers are shown as well as portraits of public figures like W. E. B. Du Bois, the Rev. Dr. Martin Luther King Jr. and Marian Anderson.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. While Du Bois was a scholar, this passage does not describe him as such or mention his scholarly work.
   - Activist: Not directly applicable. While Du Bois was an activist, this passage only lists him as a public figure alongside others and does not detail his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. No enduring cultural objects are named after Du Bois in this passage.
    - Mention of Scholarly Work: Not applicable. No specific academic works or theoretical concepts by Du Bois are mentioned.
    - Social/Political Advocacy: Not applicable. The passage lists Du Bois as a public figure but does not mention his advocacy or the advocacy of others in relation to him.

3. **Canonization Processes**:
    - Coalition Building: Not applicable. There is no mention of Du Bois building his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Not applicable. The passage does not feature an academic discussing Du Bois or his work.
    - Out of the Mouth of Activists: Not applicable. The passage does not feature an activist referencing Du Bois's work or legacy.
    - Collective Synecdoche: Applicable. Du Bois is mentioned alongside other famous public figures (Dr. Martin Luther King Jr. and Marian Anderson) to represent a facet of Black American history and public life.

**Codes Applied**:
- Collective Synecdoche
"
86,0,0,0,0,0,0,1,0,0,"User: ''The awards are coming late,'' Mr. Brown said yesterday, noting that it had been ''30 or 40 years,'' since he wrote his last poem. An 80-year-old retired professor of English at Howard University, Mr. Brown said he had been keeping busy preparing a collection of essays for publication and writing his memoirs, including anecdotes about W. E. B. Du Bois and other notable figures he had known and befriended.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable because while Du Bois is mentioned in the context of a retired professor's memoirs, he is not described as a scholar in this passage.
   - Activist: Not directly applicable because the passage does not mention or imply Du Bois's activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because no enduring cultural objects are named after Du Bois.
    - Mention of Scholarly Work: Not applicable because no specific academic works or major theoretical concepts by Du Bois are mentioned or quoted.
    - Social/Political Advocacy: Not directly applicable because while Du Bois is mentioned as a notable figure, the passage does not invoke his work or persona in discussions of social or political activism.

3. **Canonization Processes**:
   - Coalition Building: Not applicable because Du Bois is not described as an agent establishing his reputation through organizational and institutional sponsorship.
   - Out of the Mouth of Academics: Applicable because a retired professor of English at Howard University is referencing Du Bois in his memoirs.
   - Out of the Mouth of Activists: Not applicable because the individual referencing Du Bois is described as a professor, not an activist or leader.
   - Collective Synecdoche: Not applicable because Du Bois is not mentioned with other famous figures to represent a facet of culture, era, or ideology.

**Codes Applied**:
- Out of the Mouth of Academics
"
92,1,0,0,1,1,0,1,0,0,"User: The scholarship on Reconstruction is vast and comprehensive. But my touchstone for thinking about the period continues to be W.E.B. Du Bois’s “Black Reconstruction,” published in 1935 after years of painstaking research that was often inhibited by segregation and the racism of Southern institutions of higher education. I return to Du Bois, even as I read more recent work, because he offers a framework that is useful, I think, for analyzing the struggle for democracy in our own time. The central conceit of Du Bois’s landmark study — whose full title is “Black Reconstruction: An Essay Toward a History of the Part Which Black Folk Played in the Attempt to Reconstruct Democracy in America, 1860-1880” — is that the period was a grand struggle between “two theories of the future of America,” rooted in the relationship of American labor to American democracy. “What were to be the limits of democratic control in the United States?” Du Bois asks. “Was the rule of the mass of Americans to be unlimited, and the right to rule extended to all men regardless of race and color?” And if not, he continues, “How would property and privilege be protected?”
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable, as the passage explicitly mentions Du Bois's ""scholarship"" and his ""landmark study"" which is a work of social theory.
   - Activist: Not directly applicable, as the passage focuses on his intellectual contributions and does not mention his direct political or social activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable, as there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Applicable, as the passage directly names and discusses W.E.B. Du Bois's book ""Black Reconstruction"" and its central theoretical concepts.
    - Social/Political Advocacy: Applicable, as the passage frames Du Bois's work as a ""struggle for democracy"" and discusses his critical engagement with questions of racial equality and democratic control.

3. **Canonization Processes**:
    - Coalition Building: Not applicable, as there is no mention of Du Bois establishing his reputation through organizational or institutional sponsorship.
    - Out of the Mouth of Academics: Applicable, as the passage discusses Du Bois's work in the context of ""scholarship on Reconstruction"" and the author's engagement with his ""landmark study,"" implying an academic context.
    - Out of the Mouth of Activists: Not directly applicable, as the passage does not reference any individual described as an activist, leader, or politician referencing Du Bois's work.
    - Collective Synecdoche: Not applicable, as Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Social/Political Advocacy
- Out of the Mouth of Academics
"
93,1,0,0,0,1,0,1,0,0,"User: Liberal orthodoxy notwithstanding, Harvard's experience with black people and black studies has been extremely mixed. In its earliest days, students and professors and at least two university presidents owned slaves. As late as 1922, a university president, Abbott Lawrence Lowell, prohibited black students from living in the freshman dormitories, as was required for all white students. ''I was in Harvard,'' said the writer W. E. B. Du Bois, who in 1895 became the first black recipient of a doctorate from Harvard, ''not of it.''
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable because Du Bois is identified as a doctor and his statement reflects on his intellectual experience at Harvard.
   - Activist: Not directly applicable because the passage focuses on his academic achievement and intellectual reflection, not his political or social activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Not applicable because the quote provided is a personal reflection and not from a specific academic work or theoretical concept.
    - Social/Political Advocacy: Applicable because Du Bois's statement critiques the exclusionary practices at Harvard, which can be seen as a form of social critique and advocacy.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because the passage does not describe Du Bois as building his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Applicable because Du Bois, as a Harvard doctorate recipient, is speaking about his experience within an academic institution.
    - Out of the Mouth of Activists: Not directly applicable because while Du Bois was an activist, the passage presents him here as an intellectual reflecting on his academic experience, not explicitly as an activist referencing his work.
    - Collective Synecdoche: Not applicable because Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Scholar
- Social/Political Advocacy
- Out of the Mouth of Academics
"
87,0,1,0,0,1,1,0,0,0,"User: Less popular were his politics. He joined anti-Fascist groups and gave support to fledgling trade unions, which were backed by admitted members of the Communist Party, Mr. Brown said. His friends were intellectuals, theater people and members of the political left. He founded the Council on African Affairs with W. E. B. Du Bois, an organization devoted to the liberation of African countries.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. The passage does not describe Du Bois as a scholar or intellectual in connection to his ideas.
   - Activist: Applicable. The passage explicitly states Du Bois founded an organization devoted to the liberation of African countries, implying his activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. No enduring cultural objects are named after Du Bois in this passage.
    - Mention of Scholarly Work: Not applicable. The passage does not mention any of Du Bois's academic works or theoretical concepts.
    - Social/Political Advocacy: Applicable. The passage describes Du Bois founding an organization devoted to the liberation of African countries, which is a form of social and political advocacy.

3. **Canonization Processes**:
    - Coalition Building: Applicable. The passage states Du Bois founded an organization with another individual, indicating he was an agent in establishing his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Not applicable. The passage does not mention an academic organization or a member of one engaging with Du Bois's work.
    - Out of the Mouth of Activists: Not applicable. While Du Bois is described as an activist, the passage does not show an activist referencing or drawing upon his work or legacy.
    - Collective Synecdoche: Not applicable. Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Activist
- Social/Political Advocacy
- Coalition Building
"
78,1,0,0,1,0,0,1,0,1,"User: The late C. Wright Mills—isolated and harassed because of his radicalism —once remarked that all social science for the past century and a halt is a dialogue with Marx. I think he was right. One will find upon examining the writings of American scholars such as Charles A. Beard, John R. Commons, Albion W. Small, Thorstein Veblen, W. E. B. Du Bois and E. R. A. Seligman that though most did not find Marxism fully persuasive, they all treated Marxism as one of the most illuminating forms of thought in existence
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable because Du Bois is listed among other American scholars whose writings are examined in the context of social science and their engagement with Marxism.
   - Activist: Not applicable because the passage focuses on Du Bois's intellectual engagement with social science and Marxism, not his political activism.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Applicable because the passage refers to examining the ""writings"" of Du Bois in the context of social science and his engagement with Marxism, implying his scholarly output.
    - Social/Political Advocacy: Not applicable because the passage focuses on intellectual discourse and scholarly engagement, not Du Bois's direct social or political activism.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because the passage does not describe Du Bois as building his reputation through organizational or institutional sponsorship.
    - Out of the Mouth of Academics: Applicable because the passage discusses the writings of Du Bois in the context of an examination by ""American scholars"" and their engagement with Marxism.
    - Out of the Mouth of Activists: Not applicable because the passage does not feature an activist referencing Du Bois's work or legacy.
    - Collective Synecdoche: Applicable because Du Bois is mentioned alongside other famous intellectuals (Charles A. Beard, John R. Commons, Albion W. Small, Thorstein Veblen, E. R. A. Seligman) to represent a facet of American scholarship in dialogue with Marxism.

**Codes Applied**:
- Scholar
- Mention of Scholarly Work
- Out of the Mouth of Academics
- Collective Synecdoche
"
50,0,0,0,0,0,0,0,0,0,"User: If not, try to imagine Father taking the phone, saying, ''Dear child, the categorical imperative was not W. E. B. Du Bois's; it was Immanuel Kant's. Which reminds me, I knew you hadn't been reading your Immanuel Kant, much less anything at all, when I got your postcard from Carmel-by-the-Sea saying you were 'having a wondurfull time reding ''The Criteek of Pure Reeson'' by Emanuel Can't.' ''
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not applicable. Du Bois is not described as a scholar in this passage; instead, his name is used in contrast to Immanuel Kant's philosophical concept.
   - Activist: Not applicable. There is no mention or implication of Du Bois's activism in this passage.

2. **General Themes**:
    - Monumental Memorialization: Not applicable. There is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Not applicable. While Kant's ""Critique of Pure Reason"" is mentioned, Du Bois's scholarly work is not.
    - Social/Political Advocacy: Not applicable. The passage does not discuss or imply any form of social or political activism related to Du Bois.

3. **Canonization Processes**:
   - Coalition Building: Not applicable. Du Bois is not described as building his reputation through organizational sponsorship.
   - Out of the Mouth of Academics: Not applicable. The speaker is not identified as an academic, and they are using Du Bois's name in a humorous, non-academic context.
   - Out of the Mouth of Activists: Not applicable. The speaker is not identified as an activist, and Du Bois's legacy is not being referenced in an activist context.
   - Collective Synecdoche: Not applicable. Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
None
"
44,1,0,1,0,0,0,0,0,1,"User: Accorded a full state funeral in his adopted Africa, W. E. B. Du Bois, widely regarded as black America's leading intellectual of the 20th century, was reburied here last summer in a tomb constructed near his old bungalow at 22 First Circular Road. His modest colonial-era home, where he died in 1963 at the age of 95, is now a Ghanaian national monument and has been renamed the W. E. B. Du Bois Memorial Center for Pan-African Culture.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Applicable, as he is described as ""black America's leading intellectual of the 20th century.""
   - Activist: Not directly applicable, as the passage focuses on his intellectual standing and memorialization rather than explicit activism.

2. **General Themes**:
    - Monumental Memorialization: Applicable, as his home has been renamed the W. E. B. Du Bois Memorial Center for Pan-African Culture and is a Ghanaian national monument.
    - Mention of Scholarly Work: Not applicable, as no specific scholarly works or theoretical concepts are mentioned.
    - Social/Political Advocacy: Not directly applicable, as the passage focuses on his memorialization and intellectual status rather than his advocacy work.

3. **Canonization Processes**:
    - Coalition Building: Not applicable, as there is no mention of Du Bois establishing his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Not applicable, as the passage does not feature an academic discussing Du Bois or his work.
    - Out of the Mouth of Activists: Not applicable, as no specific activist or organization is referencing Du Bois's work or legacy.
    - Collective Synecdoche: Applicable, as he is described as ""black America's leading intellectual of the 20th century,"" placing him in a collective representation of intellectualism.

**Codes Applied**:
- Scholar
- Monumental Memorialization
- Collective Synecdoche
"
101,0,1,0,0,1,0,0,1,0,"User: What effect, many of us have worried, would this unprecedented rise in prosperity have on the New Millennials? Would they heed Du Bois’s call, as students like John Lewis and Julian Bond, Charlayne Hunter and Diane Nash did under the leadership of the “Negro Gandhi” presciently predicted by Du Bois back in 1948?
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable because Du Bois's scholarly work is not the focus of this passage, but rather his predictions and calls to action.
   - Activist: Applicable because Du Bois is described as having made a ""call"" and is associated with the leadership of students who engaged in activism, implying his role as an activist.

2. **General Themes**:
    - Monumental Memorialization: Not applicable because there is no mention of any enduring cultural object named after Du Bois.
    - Mention of Scholarly Work: Not directly applicable because while Du Bois made predictions, the passage does not explicitly mention or quote his academic works or major theoretical concepts.
    - Social/Political Advocacy: Applicable because the passage discusses Du Bois's ""call"" and connects him to students who engaged in activism, implying his involvement in social and political advocacy.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because the passage does not describe Du Bois as an agent establishing his reputation through organizational and institutional sponsorship.
    - Out of the Mouth of Academics: Not directly applicable because while students are mentioned, they are not explicitly identified as academics engaging with Du Bois's work in this context.
    - Out of the Mouth of Activists: Applicable because the passage references students like John Lewis and Julian Bond, who are known activists, drawing upon Du Bois's predictions and legacy.
    - Collective Synecdoche: Not applicable because Du Bois is not mentioned alongside other figures to represent a broader concept or group.

**Codes Applied**:
- Activist
- Social/Political Advocacy
- Out of the Mouth of Activists
"
115,0,0,1,0,0,0,1,0,0,"User: Mr. Morgan said Dr. Jeffries called The Crimson a ""Jewish newspaper"" and made derogatory comments about Henry Louis Gates Jr., director of Harvard's W. E. B. Du Bois Institute for African-American Research.
Assistant: 1. **Characterization of Du Bois**:
   - Scholar: Not directly applicable because while the W.E.B. Du Bois Institute is mentioned, Du Bois himself is not described as a scholar in this passage.
   - Activist: Not directly applicable because the passage does not describe Du Bois's activism.

2. **General Themes**:
    - Monumental Memorialization: Applicable because the W.E.B. Du Bois Institute for African-American Research is a named entity.
    - Mention of Scholarly Work: Not applicable because no specific scholarly works or theoretical concepts by Du Bois are mentioned.
    - Social/Political Advocacy: Not directly applicable because the passage focuses on a derogatory comment and not on Du Bois's advocacy.

3. **Canonization Processes**:
    - Coalition Building: Not applicable because there is no mention of Du Bois building his reputation through organizational sponsorship.
    - Out of the Mouth of Academics: Applicable because Dr. Jeffries, presumably an academic given the context of Harvard, is making comments in relation to the W.E.B. Du Bois Institute.
    - Out of the Mouth of Activists: Not applicable because Dr. Jeffries is not described as an activist or leader in this context.
    - Collective Synecdoche: Not applicable because Du Bois is not mentioned alongside other figures to represent a broader concept.

**Codes Applied**:
- Monumental Memorialization
- Out of the Mouth of Academics
"
